Label,Prediction_1,Prediction_2,Prediction_3,Prediction_4,Prediction_5,Prediction_6,Prediction_7,Prediction_8,Prediction_9,Prediction_10,Prediction_11,Prediction_12,Prediction_13,Prediction_14,Prediction_15,Prediction_16,Prediction_17,Prediction_18,Prediction_19,Prediction_20,Prediction_21,Prediction_22,Prediction_23,Prediction_24,Prediction_25,Prediction_26,Prediction_27,Prediction_28,Prediction_29,Prediction_30,Prediction_31,Prediction_32,Prediction_33
Note,alliaceous, coffee, floral, fruity, green, herbal, minty, sulfurous, waxy, balsamic, aldehydic, buttery, caramellic, creamy, earthy, ethereal, fatty, fermented, musk, soapy, spicy, tropical, woody, amber, cooling, citrus, animal, berry, honey, vanilla, nutty, musty, camphoreous
AUROC,0.999852359294891,0.999890506267548,0.983689427375794,0.963646531105042,0.988367080688477,0.919862329959869,0.999738574028015,0.999507427215576,0.994845986366272,0.999158680438995,0.328227281570435,0.61360365152359,0.847294986248016,0.653875470161438,0.647091925144196,0.698582470417023,0.653414011001587,0.475219637155533,0.667571544647217,0.651344895362854,0.469798296689987,0.373422145843506,0.761830687522888,0.854815185070038,0.616713285446167,0.75139445066452,0.214867562055588,0.409736126661301,0.637352585792542,0.507158517837524,0.107327699661255,0.422708123922348,0.656062126159668
